actors,comment_count,director,name,profile,publication_date,star
主演:岛本须美SumiShimamoto/松田洋治Y...,195239人评价,导演:宫崎骏HayaoMiyazaki,风之谷,动画片的圣经。,1984 / 日本 / 科幻动画奇幻冒险,8.8
主演:伊桑·霍克EthanHawke...,220310人评价,导演:理查德·林克莱特RichardLinklater,爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004 / 美国 / 剧情爱情,8.7
主演:本名阳子YoukoHonna/小林桂树K...,189990人评价,导演:近藤喜文YoshifumiKondo,侧耳倾听,少女情怀总是诗。,1995 / 日本 / 剧情爱情动画音乐,8.8
主演:艾德里安·布洛迪AdrienBrody/马西...,195832人评价,导演:托尼·凯耶TonyKaye,超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,2011 / 美国 / 剧情,8.8
主演:林原惠美MegumiHayashibara/古谷彻T...,153530人评价,导演:今敏SatoshiKon,红辣椒,梦的勾结。,2006 / 日本 / 动画悬疑科幻惊悚,8.9
主演:张国荣LeslieCheung/王祖贤JoeyW...,288410人评价,导演:程小东Siu-TungChing,倩女幽魂,两张绝世的脸。 ,1987 / 香港 / 剧情爱情武侠古装,8.6
主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,254929人评价,导演:金秉祐Byeong-wooKim,恐怖直播,恐怖分子的“秋菊打官司”。,2013 / 韩国 / 剧情犯罪悬疑,8.7
主演:桥本爱AiHashimoto/三浦贵大Takahir...,154556人评价,导演:森淳一JunichiMori,小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014 / 日本 / 剧情,8.9
主演:周星驰StephenCh...,359197人评价,导演:周星驰StephenChow/李力持Lik-ChiLee,喜剧之王,我是一个演员。,1999 / 香港 / 喜剧剧情爱情,8.6
主演:...,316510人评价,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders,驯龙高手,和谐的生活离不开摸头与被摸头。,2010 / 美国 / 喜剧动画奇幻冒险家庭,8.7
主演:北野武TakeshiKitano/关口雄介Yus...,206654人评价,导演:北野武TakeshiKitano,菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999 / 日本 / 剧情喜剧,8.7
主演:汤姆·汉克斯TomHanks...,247385人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg,幸福终点站,有时候幸福需要等一等。 ,2004 / 美国 / 喜剧剧情爱情,8.7
主演:辰己努/白石绫乃/志乃原良子,224148人评价,导演:高畑勋IsaoTakahata,萤火虫之墓,幸福是生生不息，却难以触及的远。 ,1988 / 日本 / 动画剧情战争,8.7
主演:志田未来MiraiShida/神木...,240739人评价,导演:米林宏昌HiromasaYonebayashi,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,2010 / 日本 / 动画奇幻冒险,8.7
主演:吴君如SandraNg/任达华SimonYam/钟绍...,332394人评价,导演:罗启锐AlexLaw,岁月神偷,岁月流逝，来日可追。,2010 / 香港中国大陆 / 剧情家庭,8.6
主演:三船敏郎ToshirôMifune/志村乔...,85780人评价,导演:黑泽明AkiraKurosawa,七武士,时代悲歌。,1954 / 日本 / 动作冒险剧情,9.2
主演:宋康昊Kang-hoSong/金相庆Sang-kyun...,230637人评价,导演:奉俊昊Joon-hoBong,杀人回忆,关于连环杀人悬案的集体回忆。,2003 / 韩国 / 犯罪剧情悬疑惊悚,8.7
主演:...,422400人评价,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud,神偷奶爸,Mr. I Don't Care其实也有Care的时候。,2010 / 美国法国 / 喜剧动画冒险,8.5
主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...,155348人评价,导演:李安AngLee,喜宴,中国家庭的喜怒哀乐忍。,1993 / 台湾美国 / 剧情喜剧爱情同性家庭,8.8
主演:戴夫...,425512人评价,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan,贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008 / 英国美国 / 剧情爱情,8.5
主演:雷·沃纳尔LeighWhannell/加利·艾...,216883人评价,导演:詹姆斯·温JamesWan,电锯惊魂,真相就在眼前。,2004 / 美国 / 悬疑惊悚恐怖,8.7
主演:休·格兰特HughGrant/柯林...,341193人评价,导演:理查德·柯蒂斯RichardCurtis,真爱至上,爱，是个动词。,2003 / 英国美国法国 / 喜剧剧情爱情,8.5
主演:马特·达蒙MattDamon/...,197297人评价,导演:保罗·格林格拉斯PaulGreengrass,谍影重重3,像吃了苏打饼一样干脆的电影。,2007 / 美国德国 / 动作悬疑惊悚,8.7
主演:...,104506人评价,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud,海洋,大海啊，不全是水。,2009 / 法国瑞士西班牙美国阿联酋 / 纪录片,9.0
主演:张国荣LeslieCheung/张曼玉MaggieC...,277109人评价,导演:王家卫KarWaiWong,东邪西毒,电影诗。,1994 / 香港台湾 / 剧情动作爱情武侠古装,8.6
主演:约...,268670人评价,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman,怪兽电力公司,不要给它起名字，起了名字就有感情了。,2001 / 美国 / 儿童喜剧动画奇幻冒险,8.6
主演:盖·皮尔斯GuyPearce/...,304683人评价,导演:克里斯托弗·诺兰ChristopherNolan,记忆碎片,一个针管引发的血案。,2000 / 美国 / 犯罪剧情悬疑惊悚,8.5
主演:达斯汀·霍夫曼DustinHoffman...,225571人评价,导演:巴瑞·莱文森BarryLevinson,雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988 / 美国 / 剧情,8.6
主演:娜塔莉·波特曼Natalie...,453903人评价,导演:达伦·阿罗诺夫斯基DarrenAronofsky,黑天鹅,黑暗之美。,2010 / 美国 / 剧情惊悚,8.5
主演...,403543人评价,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders,疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,2013 / 美国 / 喜剧动画冒险,8.7
主演:唐·钱德尔DonCheadle/苏菲·奥...,132189人评价,导演:特瑞·乔治TerryGeorge,卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,2004 / 英国南非意大利美国 / 剧情历史战争,8.9
